Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],Error [cts]
21.9881,1128.735,1106.586,1106.371,22.149
21.9921,1120.642,1106.546,1106.33,14.096
21.9961,1095.589,1106.506,1106.288,-10.917
22.0001,1139.241,1106.466,1106.246,32.775
22.0041,1163.405,1106.425,1106.204,56.98
22.0081,1139.582,1106.385,1106.163,33.197
22.0121,1119.545,1106.345,1106.121,13.2
22.0161,1110.062,1106.305,1106.079,3.757
22.0201,1091.536,1106.265,1106.037,-14.729
22.0241,1083.328,1106.224,1105.996,-22.896
22.0281,1122.023,1106.184,1105.954,15.839
22.0321,1155.845,1106.144,1105.912,49.701
22.0361,1136.678,1106.104,1105.87,30.574
22.0401,1133.09,1106.064,1105.829,27.026
22.0441,1113.915,1106.024,1105.787,7.891
22.0481,1097.761,1105.984,1105.745,-8.223
22.0521,1138.008,1105.943,1105.703,32.065
22.0561,1154.338,1105.903,1105.662,48.435
22.0601,1134.737,1105.863,1105.62,28.874
22.0641,1095.418,1105.823,1105.578,-10.405
22.0681,1101.163,1105.783,1105.536,-4.62
22.0721,1131.174,1105.743,1105.495,25.431
22.0761,1181.442,1105.703,1105.453,75.739
22.0801,1069.426,1105.662,1105.411,-36.236
22.0841,1064.558,1105.622,1105.369,-41.064
22.0881,1090.665,1105.582,1105.328,-14.917
22.0921,1137.379,1105.542,1105.286,31.837
22.0961,1122.21,1105.502,1105.244,16.708
22.1001,1090.851,1105.462,1105.202,-14.611
22.1041,1089.877,1105.422,1105.16,-15.545
22.1081,1092.201,1105.382,1105.119,-13.181
22.1121,1142.442,1105.342,1105.077,37.1
22.1161,1116.097,1105.302,1105.035,10.795
22.1201,1090.568,1105.262,1104.993,-14.694
22.1241,1147.49,1105.222,1104.952,42.268
22.1281,1116.561,1105.182,1104.91,11.379
22.1321,1105.082,1105.142,1104.868,-0.06
22.1361,1137.295,1105.102,1104.826,32.193
22.1401,1125.087,1105.062,1104.785,20.025
22.1441,1106.283,1105.022,1104.743,1.261
22.1481,1126.009,1104.982,1104.701,21.027
22.1521,1101.902,1104.942,1104.659,-3.04
22.1561,1159.376,1104.902,1104.618,54.474
22.1601,1138.868,1104.862,1104.576,34.006
22.1641,1119.719,1104.822,1104.534,14.897
22.1681,1097.269,1104.782,1104.492,-7.513
22.1721,1138.846,1104.742,1104.451,34.104
22.1761,1123.887,1104.702,1104.409,19.185
22.1801,1161.461,1104.662,1104.367,56.799
22.1841,1131.106,1104.622,1104.325,26.484
22.1881,1107.414,1104.582,1104.284,2.832
22.1921,1116.88,1104.542,1104.242,12.338
22.1961,1131.796,1104.502,1104.2,27.294
22.2001,1142.175,1104.462,1104.158,37.713
22.2041,1153.229,1104.422,1104.117,48.807
22.2081,1127.347,1104.382,1104.075,22.965
22.2121,1109.652,1104.342,1104.033,5.31
22.2161,1111.316,1104.302,1103.991,7.014
22.2201,1114.123,1104.262,1103.95,9.861
22.2241,1155.71,1104.223,1103.908,51.487
22.2281,1173.768,1104.183,1103.866,69.585
22.2321,1176.41,1104.143,1103.824,72.267
22.2361,1141.421,1104.103,1103.782,37.318
22.2401,1108.646,1104.063,1103.741,4.583
22.2441,1045.729,1104.023,1103.699,-58.294
22.2481,1119.589,1103.983,1103.657,15.606
22.2521,1057.084,1103.943,1103.615,-46.859
22.2561,1118.36,1103.903,1103.574,14.457
22.2601,1081.102,1103.863,1103.532,-22.761
22.2641,1079.187,1103.823,1103.49,-24.636
22.2681,1075.226,1103.783,1103.448,-28.557
22.2721,1115.595,1103.744,1103.407,11.851
22.2761,1067.089,1103.704,1103.365,-36.615
