No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
246,20.9801,1145.192,1142.457,1142.185,30.25, ,4.9131,,2.735
247,20.9841,1179.587,1142.369,1142.097,30.25, ,4.9122,,37.218
248,20.9881,1164.969,1142.281,1142.009,30.25, ,4.9113,,22.688
249,20.9921,1116.861,1142.193,1141.92,30.25, ,4.9103,,-25.332
250,20.9961,1143.188,1142.106,1141.832,30.25, ,4.9094,,1.082
251,21.0001,1155.486,1142.018,1141.744,30.25, ,4.9085,,13.468
252,21.0041,1169.944,1141.93,1141.656,30.25, ,4.9076,,28.014
253,21.0081,1136.727,1141.842,1141.568,30.25, ,4.9066,,-5.115
254,21.0121,1128.521,1141.754,1141.479,30.25, ,4.9057,,-13.233
255,21.0161,1130.684,1141.667,1141.391,30.25, ,4.9048,,-10.983
256,21.0201,1158.213,1141.579,1141.303,30.25, ,4.9039,,16.634
257,21.0241,1175.008,1141.491,1141.215,30.25, ,4.9029,,33.517
258,21.0281,1090.765,1141.403,1141.127,30.25, ,4.902,,-50.638
259,21.0321,1144.845,1141.316,1141.038,30.25, ,4.9011,,3.529
260,21.0361,1153.462,1141.228,1140.95,30.25, ,4.9002,,12.234
261,21.0401,1120.581,1141.14,1140.862,30.25, ,4.8993,,-20.559
262,21.0441,1144.938,1141.052,1140.774,30.25, ,4.8983,,3.886
263,21.0481,1102.697,1140.965,1140.686,30.25, ,4.8974,,-38.268
264,21.0521,1169.364,1140.877,1140.597,30.25, ,4.8965,,28.487
265,21.0561,1137.043,1140.789,1140.509,30.25, ,4.8956,,-3.746
266,21.0601,1134.451,1140.702,1140.421,30.25, ,4.8947,,-6.251
267,21.0641,1180.593,1140.614,1140.333,30.25, ,4.8937,,39.979
268,21.0681,1178.68,1140.526,1140.245,30.25, ,4.8928,,38.154
269,21.0721,1164.235,1140.438,1140.156,30.25, ,4.8919,,23.797
270,21.0761,1124.785,1140.35,1140.068,30.25, ,4.891,,-15.565
