No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
190,20.7561,1189.801,1219.839,1219.654,30.25, ,4.9655,,-30.038
191,20.7601,1200.446,1219.775,1219.59,30.25, ,4.9646,,-19.329
192,20.7641,1218.75,1219.711,1219.526,30.25, ,4.9637,,-0.961
193,20.7681,1164.891,1219.648,1219.462,30.25, ,4.9627,,-54.757
194,20.7721,1213.149,1219.584,1219.398,30.25, ,4.9618,,-6.435
195,20.7761,1178.945,1219.521,1219.333,30.25, ,4.9608,,-40.576
196,20.7801,1183.076,1219.457,1219.269,30.25, ,4.9599,,-36.381
197,20.7841,1211.624,1219.394,1219.205,30.25, ,4.9589,,-7.77
198,20.7881,1270.443,1219.33,1219.141,30.25, ,4.958,,51.113
199,20.7921,1288.035,1219.266,1219.077,30.25, ,4.957,,68.769
200,20.7961,1235.219,1219.203,1219.013,30.25, ,4.9561,,16.016
201,20.8001,1213.767,1219.139,1218.948,30.25, ,4.9552,,-5.372
202,20.8041,1235.655,1219.076,1218.884,30.25, ,4.9542,,16.579
203,20.8081,1215.453,1219.012,1218.82,30.25, ,4.9533,,-3.559
204,20.8121,1164.797,1218.949,1218.756,30.25, ,4.9523,,-54.152
205,20.8161,1169.265,1218.885,1218.692,30.25, ,4.9514,,-49.62
206,20.8201,1227.61,1218.822,1218.628,30.25, ,4.9505,,8.788
207,20.8241,1230.063,1218.758,1218.563,30.25, ,4.9495,,11.305
208,20.8281,1203.726,1218.695,1218.499,30.25, ,4.9486,,-14.969
209,20.8321,1206.133,1218.631,1218.435,30.25, ,4.9476,,-12.498
210,20.8361,1192.472,1218.568,1218.371,30.25, ,4.9467,,-26.096
211,20.8401,1249.939,1218.504,1218.307,30.25, ,4.9458,,31.435
212,20.8441,1304.074,1218.44,1218.242,30.25, ,4.9448,,85.634
213,20.8481,1226.522,1218.377,1218.178,30.25, ,4.9439,,8.145
214,20.8521,1199.053,1218.313,1218.114,30.25, ,4.9429,,-19.26
215,20.8561,1173.127,1218.25,1218.05,30.25, ,4.942,,-45.123
216,20.8601,1240.137,1218.186,1217.986,30.25, ,4.9411,,21.951
217,20.8641,1191.107,1218.123,1217.922,30.25, ,4.9401,,-27.016
218,20.8681,1167.265,1218.059,1217.857,30.25, ,4.9392,,-50.794
219,20.8721,1201.272,1217.996,1217.793,30.25, ,4.9383,,-16.724
220,20.8761,1199.593,1217.932,1217.729,30.25, ,4.9373,,-18.339
221,20.8801,1220.926,1217.869,1217.665,30.25, ,4.9364,,3.057
222,20.8841,1234.652,1217.805,1217.601,30.25, ,4.9354,,16.847
223,20.8881,1232.765,1217.742,1217.537,30.25, ,4.9345,,15.023
224,20.8921,1235.193,1217.678,1217.472,30.25, ,4.9336,,17.515
225,20.8961,1212.11,1217.615,1217.408,30.25, ,4.9326,,-5.505
226,20.9001,1170.659,1217.551,1217.344,30.25, ,4.9317,,-46.892
227,20.9041,1160.39,1217.488,1217.28,30.25, ,4.9308,,-57.098
228,20.9081,1195.977,1217.424,1217.216,30.25, ,4.9298,,-21.447
229,20.9121,1247.801,1217.361,1217.152,30.25, ,4.9289,,30.44
230,20.9161,1236.682,1217.298,1217.087,30.25, ,4.928,,19.384
231,20.9201,1217.824,1217.234,1217.023,30.25, ,4.9271,,0.59
232,20.9241,1173.491,1217.171,1216.959,30.25, ,4.9261,,-43.68
233,20.9281,1174.737,1217.107,1216.895,30.25, ,4.9252,,-42.37
234,20.9321,1217.335,1217.044,1216.831,30.25, ,4.9243,,0.291
235,20.9361,1190.791,1216.98,1216.766,30.25, ,4.9233,,-26.189
236,20.9401,1157.281,1216.917,1216.702,30.25, ,4.9224,,-59.636
237,20.9441,1261.348,1216.853,1216.638,30.25, ,4.9215,,44.495
238,20.9481,1238.262,1216.79,1216.574,30.25, ,4.9205,,21.472
239,20.9521,1213.588,1216.726,1216.51,30.25, ,4.9196,,-3.138
240,20.9561,1212.967,1216.663,1216.446,30.25, ,4.9187,,-3.696
241,20.9601,1231.481,1216.6,1216.381,30.25, ,4.9178,,14.881
242,20.9641,1225.075,1216.536,1216.317,30.25, ,4.9168,,8.539
243,20.9681,1200.361,1216.473,1216.253,30.25, ,4.9159,,-16.112
244,20.9721,1207.326,1216.409,1216.189,30.25, ,4.915,,-9.083
245,20.9761,1267.485,1216.346,1216.125,30.25, ,4.914,,51.139
246,20.9801,1251.571,1216.282,1216.061,30.25, ,4.9131,,35.289
247,20.9841,1245.348,1216.219,1215.996,30.25, ,4.9122,,29.129
248,20.9881,1260.415,1216.156,1215.932,30.25, ,4.9113,,44.259
249,20.9921,1235.547,1216.092,1215.868,30.25, ,4.9103,,19.455
250,20.9961,1212.787,1216.029,1215.804,30.25, ,4.9094,,-3.242
251,21.0001,1234.402,1215.965,1215.74,30.25, ,4.9085,,18.437
252,21.0041,1258.969,1215.902,1215.676,30.25, ,4.9076,,43.067
253,21.0081,1210.64,1215.839,1215.611,30.25, ,4.9066,,-5.199
254,21.0121,1242.978,1215.775,1215.547,30.25, ,4.9057,,27.203
255,21.0161,1260.84,1215.712,1215.483,30.25, ,4.9048,,45.128
256,21.0201,1254.982,1215.648,1215.419,30.25, ,4.9039,,39.334
257,21.0241,1226.306,1215.585,1215.355,30.25, ,4.9029,,10.721
258,21.0281,1162.64,1215.522,1215.29,30.25, ,4.902,,-52.882
259,21.0321,1229.877,1215.458,1215.226,30.25, ,4.9011,,14.419
260,21.0361,1241.367,1215.395,1215.162,30.25, ,4.9002,,25.972
261,21.0401,1198.324,1215.332,1215.098,30.25, ,4.8993,,-17.008
262,21.0441,1221.06,1215.268,1215.034,30.25, ,4.8983,,5.792
263,21.0481,1255.901,1215.205,1214.97,30.25, ,4.8974,,40.696
264,21.0521,1231.581,1215.141,1214.905,30.25, ,4.8965,,16.44
265,21.0561,1232.051,1215.078,1214.841,30.25, ,4.8956,,16.973
266,21.0601,1247.471,1215.015,1214.777,30.25, ,4.8947,,32.456
267,21.0641,1211.5,1214.951,1214.713,30.25, ,4.8937,,-3.451
268,21.0681,1225.358,1214.888,1214.649,30.25, ,4.8928,,10.47
269,21.0721,1246.402,1214.825,1214.585,30.25, ,4.8919,,31.577
270,21.0761,1239.49,1214.761,1214.52,30.25, ,4.891,,24.729
271,21.0801,1229.132,1214.698,1214.456,30.25, ,4.8901,,14.434
272,21.0841,1214.897,1214.635,1214.392,30.25, ,4.8892,,0.262
273,21.0881,1209.157,1214.571,1214.328,30.25, ,4.8882,,-5.414
274,21.0921,1229.388,1214.508,1214.264,30.25, ,4.8873,,14.88
275,21.0961,1243.13,1214.445,1214.2,30.25, ,4.8864,,28.685
276,21.1001,1216.773,1214.381,1214.135,30.25, ,4.8855,,2.392
277,21.1041,1179.906,1214.318,1214.071,30.25, ,4.8846,,-34.412
278,21.1081,1171.501,1214.255,1214.007,30.25, ,4.8837,,-42.754
